 Weight Class, Name,Sex, Record,Fighting Style,Country,Nickname,Title Holder
 Welterweight,"B.J. Penn
",Male, 16-14,Jiu-Jitsu,USA,The Prodigy,Former
 Welterweight,"Matt Hughes
",Male, 45-9,Wrestling,USA,Unknown,Former
 Welterweight,"Georges St-Pierre
",Male, 26-2,"Jiu-Jitsu, Gaidojutsu, Karate, Shidokan",Canada,Rush,Former
 Welterweight," Matt Serra
",Male, 11-7,Jiu-Jitsu,USA,The Terror,Former
 Welterweight,"Georges St-Pierre
",Male, 26-2,"Jiu-Jitsu, Gaidojutsu, Karate, Shidokan",Canada,Rush,Former
 Welterweight,"Georges St-Pierre
",Male, 26-2,"Jiu-Jitsu, Gaidojutsu, Karate, Shidokan",Canada,Rush,Former
 Welterweight,"Carlos Condit
",Male, 31-13,"Kickboxing, Gaidojutsu, Shootboxing",USA,The Natural Born Killer,Former
 Welterweight," Johny Hendricks
",Male, 18-8,"Wrestling, Jiu-Jitsu",USA,Bigg Rigg,Former
 Welterweight," Robbie Lawler
",Male, 28-15,MMA,USA,Ruthless,Former
 Welterweight," Tyron Woodley
",Male, 19-6,Wrestling,USA,The Chosen One,Former
 Welterweight," Colby Covington (interim title holder)
",Male, 16-2,Wrestling,USA,Chaos,Former
 Welterweight," Kamaru Usman
",Male, 17-1,Wrestling,Nigeria,The Nigerian Nightmare,Current
 Lightweight," Jens Pulver
",Male, 27-19,"Wrestling, Boxing, Kickboxing, BJJ, Shootboxing",USA,Lil' Evil,Former
 Lightweight," Sean Sherk
",Male, 36-4,"Wrestling, Submission Fighting",USA,The Muscle Shark,Former
 Lightweight," B.J. Penn
",Male, 16-14,Jiu-Jitsu,USA,The Prodigy,Former
 Lightweight," Frankie Edgar
",Male, 24-8,"Wrestling, Boxing, Jiu-Jitsu, Muay thai",USA,The Answer,Former
 Lightweight," Benson Henderson
",Male, 28-10,"Wrestling, Jiu-Jitsu, Taekwondo",USA,Smooth,Former
 Lightweight," Anthony Pettis
",Male, 23-10,"Wrestling, Jiu-Jitsu",USA,Showtime,Former
 Lightweight," Rafael dos Anjos
",Male, 30-13,"Jiu-Jitsu, Muay thai",Brazil,Unknown,Former
 Lightweight," Eddie Alvarez
",Male, 30-7,"Boxing, Wrestling, Jiu-Jitsu",USA,The Underground King,Former
 Lightweight," Conor McGregor
",Male, 22-4,"Boxing, Jiu-Jitsu",Ireland,Notorious,Former
 Lightweight," Tony Ferguson (interim title holder)
",Male, 25-5,"Wrestling, Jiu-Jitsu",USA,El Cucuy,Former
 Lightweight," Khabib Nurmagomedov
",Male, 29-0,Sambo,Russia,The Eagle,Current
